Fecha,año,mes,Open,High,Low,AdjClose,ROC,Activos,Ocupados,Parados,Tasa Act,Tasa Paro,Tasa Paro ROC
2009-02-01,2009,2,8275.400391,8653.799805,7385.0,7620.89209,0.9018389263991413,23289.1,19541.36666666667,3747.733333333333,60.376666666666665,16.09,1.0769745649263722
2009-03-01,2009,3,7428.600098,8121.700195,6702.600098,7814.992188,1.025469472039198,23302.6,19284.4,4018.2,60.39,17.24,1.0714729645742695
2009-04-01,2009,4,7761.299805,9100.799805,7637.200195,9037.991211,1.1564939533628615,23299.533333333333,19241.0,4058.6666666666665,60.36,17.416666666666664,1.010247486465584
2009-05-01,2009,5,9048.099609,9555.599609,8828.5,9424.290039,1.0427416689153053,23296.466666666667,19197.600000000002,4099.133333333333,60.33,17.593333333333334,1.0101435406698567
2009-06-01,2009,6,9554.799805,9890.599609,9200.700195,9787.790039,1.0385705446771856,23293.4,19154.2,4139.6,60.3,17.77,1.0100416824554754
2009-07-01,2009,7,9798.099609,10932.900391,9241.200195,10855.088867,1.1090439030411656,23268.86666666667,19135.600000000002,4133.533333333334,60.21666666666666,17.763333333333332,0.9996248358656912
2009-08-01,2009,8,10809.900391,11522.799805,10511.900391,11365.087891,1.0469824826170169,23244.333333333332,19117.0,4127.466666666666,60.13333333333333,17.756666666666668,0.9996246950647403
2009-09-01,2009,9,11434.0,11938.200195,10874.400391,11756.087891,1.0344036054758219,23219.8,19098.4,4121.4,60.05,17.75,0.9996245541580626
2009-10-01,2009,10,11766.599609,11960.400391,11268.5,11414.788086,0.9709682499684879,23221.666666666668,19029.06666666667,4192.599999999999,60.03,18.053333333333335,1.0170892018779343
2009-11-01,2009,11,11354.0,12102.599609,11179.900391,11644.688477,1.0201405746009398,23223.533333333333,18959.733333333334,4263.8,60.01,18.356666666666666,1.0168020679468242
2009-12-01,2009,12,11746.200195,12070.900391,11468.700195,11939.988281,1.0253591845400816,23225.4,18890.4,4335.0,59.99,18.66,1.0165244234610495
2010-01-01,2010,1,11986.5,12240.5,10821.200195,10947.689453,0.9168928139084497,23240.433333333334,18811.233333333334,4429.233333333334,60.02333333333333,19.053333333333335,1.0210789567702752
2010-02-01,2010,2,10852.400391,11201.599609,9916.599609,10333.588867,0.9439059183550625,23255.466666666667,18732.06666666667,4523.466666666666,60.05666666666667,19.446666666666665,1.0206438068579424
2010-03-01,2010,3,10434.700195,11190.0,10287.599609,10871.289063,1.052034216081223,23270.5,18652.9,4617.7,60.09,19.84,1.0202262598560166
2010-04-01,2010,4,10950.400391,11566.099609,10077.900391,10492.189453,0.9651283663047606,23315.8,18685.633333333335,4630.233333333334,60.196666666666665,19.856666666666666,1.0008400537634408
2010-05-01,2010,5,10426.200195,10452.200195,8812.099609,9359.390625,0.8920340856334709,23361.100000000002,18718.366666666665,4642.766666666666,60.303333333333335,19.873333333333335,1.0008393486654357
2010-06-01,2010,6,9282.200195,10209.5,8563.599609,9263.390625,0.9897429219650714,23406.4,18751.1,4655.3,60.41,19.89,1.0008386447500839
2010-07-01,2010,7,9041.700195,10788.0,8977.700195,10499.789063,1.1334714779989103,23405.733333333334,18773.733333333334,4632.0,60.39666666666666,19.79,0.9949723479135243
2010-08-01,2010,8,10535.400391,10953.099609,9773.799805,10186.989258,0.9702089439013336,23405.06666666667,18796.366666666665,4608.7,60.38333333333333,19.69,0.9949469429004549
2010-09-01,2010,9,10232.700195,10902.5,10170.099609,10514.489258,1.0321488510202173,23404.4,18819.0,4585.4,60.37,19.59,0.9949212798374809
2010-10-01,2010,10,10520.099609,11021.599609,10310.200195,10812.889648,1.0283799224744044,23395.3,18770.966666666667,4624.333333333333,60.33,19.763333333333332,1.0088480517270715
2010-11-01,2010,11,10901.799805,10903.400391,9203.400391,9267.19043,0.857050310479595,23386.2,18722.933333333334,4663.266666666666,60.29,19.936666666666667,1.008770450328892
2010-12-01,2010,12,9344.200195,10253.900391,9331.400391,9859.089844,1.0638704274473396,23377.1,18674.9,4702.2,60.25,20.11,1.0086941982945996
2011-01-01,2011,1,9899.400391,10961.099609,9387.900391,10805.989258,1.0960432888819103,23367.166666666664,18592.0,4775.2,60.22,20.433333333333334,1.01607823636665
2011-02-01,2011,2,10886.200195,11165.0,10543.299805,10850.789063,1.0041458309767275,23357.233333333334,18509.100000000002,4848.2,60.19,20.756666666666664,1.0158238172920064
2011-03-01,2011,3,10898.799805,10939.700195,10076.5,10576.489258,0.9747207504074211,23347.3,18426.2,4921.2,60.16,21.08,1.01557732455436
2011-04-01,2011,4,10657.200195,10958.200195,10289.099609,10878.889648,1.0285917550354682,23386.933333333334,18491.466666666667,4895.533333333333,60.25333333333333,20.933333333333334,0.9930423782416193
2011-05-01,2011,5,10917.400391,10928.200195,10030.599609,10475.989258,0.9629649345625936,23426.566666666666,18556.733333333334,4869.866666666667,60.346666666666664,20.786666666666665,0.9929936305732483
2011-06-01,2011,6,10506.0,10549.0,9758.5,10359.889648,0.9889175516372989,23466.2,18622.0,4844.2,60.44,20.64,0.9929441949967929
2011-07-01,2011,7,10359.400391,10536.799805,9276.099609,9630.69043,0.9296132253550821,23471.633333333335,18576.166666666668,4895.466666666666,60.44,20.853333333333335,1.0103359173126616
2011-08-01,2011,8,9713.0,9752.299805,7767.299805,8718.59082,0.9052923965701597,23477.066666666666,18530.333333333332,4946.733333333334,60.44,21.066666666666666,1.010230179028133
2011-09-01,2011,9,8748.0,8801.700195,7505.299805,8546.59082,0.9802720412563183,23482.5,18484.5,4998.0,60.44,21.28,1.010126582278481
2011-10-01,2011,10,8346.599609,9351.0,8065.100098,8954.891602,1.0477735263801946,23468.433333333334,18374.0,5094.433333333333,60.39,21.706666666666667,1.0200501253132832
2011-11-01,2011,11,8775.400391,8800.900391,7601.200195,8449.491211,0.943561528886947,23454.366666666665,18263.5,5190.866666666667,60.339999999999996,22.133333333333333,1.0196560196560196
2011-12-01,2011,12,8441.0,8844.200195,8120.899902,8566.291016,1.0138232944544567,23440.3,18153.0,5287.3,60.29,22.56,1.0192771084337349
2012-01-01,2012,1,8558.0,8746.599609,8233.799805,8509.191406,0.9933343835863907,23437.866666666665,18023.7,5414.166666666667,60.29666666666667,23.10333333333333,1.0240839243498818
2012-02-01,2012,2,8558.599609,8967.400391,8429.099609,8465.891602,0.9949114079195032,23435.433333333334,17894.399999999998,5541.033333333333,60.303333333333335,23.64666666666667,1.02351752993796
2012-03-01,2012,3,8442.0,8625.5,7866.399902,8007.991699,0.9459123829447772,23433.0,17765.1,5667.9,60.31,24.19,1.0229771638003946
2012-04-01,2012,4,8024.700195,8072.600098,6811.200195,7010.992676,0.8754994934467152,23451.833333333332,17762.899999999998,5688.933333333333,60.373333333333335,24.26,1.0028937577511368
2012-05-01,2012,5,7100.899902,7175.700195,6012.0,6089.793457,0.8686064496753161,23470.666666666668,17760.7,5709.966666666666,60.43666666666667,24.33,1.0028854080791425
2012-06-01,2012,6,6109.700195,7102.200195,5987.799805,7102.192871,1.1662452792772937,23489.5,17758.5,5731.0,60.5,24.4,1.0028771064529387
2012-07-01,2012,7,7082.399902,7219.5,5905.299805,6738.093262,0.948734198632269,23490.3,17728.233333333334,5762.066666666667,60.516666666666666,24.529999999999998,1.005327868852459
2012-08-01,2012,8,6715.200195,7645.0,6296.100098,7420.492676,1.1012748543936672,23491.100000000002,17697.966666666667,5793.133333333333,60.53333333333333,24.66,1.0052996331023238
2012-09-01,2012,9,7398.5,8231.0,7351.200195,7708.492188,1.0388113733918873,23491.9,17667.7,5824.2,60.55,24.79,1.005271695052717
2012-10-01,2012,10,7712.799805,8156.600098,7565.5,7842.89209,1.0174353036524082,23448.06666666667,17558.266666666666,5889.8,60.44333333333333,25.116666666666667,1.0131773564609385
2012-11-01,2012,11,7807.100098,7995.899902,7490.600098,7934.592285,1.0116921403415615,23404.233333333334,17448.833333333336,5955.4,60.336666666666666,25.44333333333333,1.0130059721300597
2012-12-01,2012,12,7963.399902,8345.400391,7670.799805,8167.491699,1.0293524110167938,23360.4,17339.4,6021.0,60.23,25.77,1.0128389886021225
2013-01-01,2013,1,8337.900391,8755.900391,8286.700195,8362.291016,1.0238505681032832,23343.06666666667,17236.333333333336,6106.733333333334,60.21333333333333,26.16,1.0151338766006985
2013-02-01,2013,2,8233.400391,8400.099609,7895.5,8230.291016,0.9842148521562529,23325.733333333334,17133.266666666666,6192.466666666666,60.196666666666665,26.55,1.014908256880734
